agency	month	po_count	po_spend
Dillwyn Correctional Center	2002-02-01	2	1699.0590
Dillwyn Correctional Center	2002-03-01	5	26954.8750
Dillwyn Correctional Center	2002-04-01	8	21275.1200
Dillwyn Correctional Center	2002-05-01	11	27213.2000
Dillwyn Correctional Center	2002-06-01	8	30766.0700
Dillwyn Correctional Center	2002-07-01	8	5986.3700
Dillwyn Correctional Center	2002-08-01	12	239210.6176
Dillwyn Correctional Center	2002-09-01	12	149332.8312
Dillwyn Correctional Center	2002-10-01	12	73079.6285
Dillwyn Correctional Center	2002-11-01	1	194.1200
Dillwyn Correctional Center	2003-01-01	1	1600.0000
Dillwyn Correctional Center	2004-11-01	2	459.6200
Dillwyn Correctional Center	2005-07-01	14	259316.1600
Dillwyn Correctional Center	2005-08-01	19	137217.0034
Dillwyn Correctional Center	2005-09-01	18	538405.1835
Dillwyn Correctional Center	2005-10-01	11	260240.3162
Dillwyn Correctional Center	2005-11-01	13	137008.6321
Dillwyn Correctional Center	2005-12-01	15	136768.5748
Dillwyn Correctional Center	2006-01-01	14	267535.7656
Dillwyn Correctional Center	2006-02-01	15	118967.1157
Dillwyn Correctional Center	2006-03-01	14	181790.2896
Dillwyn Correctional Center	2006-04-01	15	239798.9069
Dillwyn Correctional Center	2006-05-01	20	172487.7461
Dillwyn Correctional Center	2006-06-01	13	115507.3982
Dillwyn Correctional Center	2006-07-01	14	510339.8831
Dillwyn Correctional Center	2006-08-01	17	120051.7844
Dillwyn Correctional Center	2006-09-01	16	199805.4018
Dillwyn Correctional Center	2006-10-01	16	210326.4156
Dillwyn Correctional Center	2006-11-01	12	113520.2932
Dillwyn Correctional Center	2006-12-01	12	172865.5264
Dillwyn Correctional Center	2007-01-01	12	105197.8395
Dillwyn Correctional Center	2007-02-01	14	172742.9941
Dillwyn Correctional Center	2007-03-01	15	123458.9003
Dillwyn Correctional Center	2007-04-01	14	87385.6476
Dillwyn Correctional Center	2007-05-01	13	80082.8688
Dillwyn Correctional Center	2007-06-01	14	161124.3478
Dillwyn Correctional Center	2007-07-01	18	563682.7433
Dillwyn Correctional Center	2007-08-01	18	145416.9552
Dillwyn Correctional Center	2007-09-01	18	252399.5792
Dillwyn Correctional Center	2007-10-01	18	173410.5187
Dillwyn Correctional Center	2007-11-01	15	41946.1704
Dillwyn Correctional Center	2007-12-01	10	121322.8646
Dillwyn Correctional Center	2008-01-01	14	110989.4877
Dillwyn Correctional Center	2008-02-01	15	214555.1668
Dillwyn Correctional Center	2008-03-01	12	605152.3650
Dillwyn Correctional Center	2008-04-01	13	85054.3036
Dillwyn Correctional Center	2008-05-01	19	117126.5918
Dillwyn Correctional Center	2008-06-01	11	47412.6998
Dillwyn Correctional Center	2008-07-01	18	233115.1820
Dillwyn Correctional Center	2008-08-01	18	107776.7256
Dillwyn Correctional Center	2008-09-01	13	131815.5132
Dillwyn Correctional Center	2008-10-01	18	115866.6745
Dillwyn Correctional Center	2008-11-01	13	68552.0210
Dillwyn Correctional Center	2008-12-01	8	133732.5059
Dillwyn Correctional Center	2009-01-01	18	158093.1696
Dillwyn Correctional Center	2009-02-01	14	73502.8168
Dillwyn Correctional Center	2009-03-01	17	767897.2430
Dillwyn Correctional Center	2009-04-01	16	250525.0971
Dillwyn Correctional Center	2009-05-01	15	121729.7727
Dillwyn Correctional Center	2009-06-01	17	105447.1166
Dillwyn Correctional Center	2009-07-01	15	363980.8729
Dillwyn Correctional Center	2009-08-01	14	280675.3850
Dillwyn Correctional Center	2009-09-01	13	285439.2767
Dillwyn Correctional Center	2009-10-01	12	195888.9402
Dillwyn Correctional Center	2009-11-01	15	74726.9108
Dillwyn Correctional Center	2009-12-01	13	67418.7521
Dillwyn Correctional Center	2010-01-01	15	92507.6396
Dillwyn Correctional Center	2010-02-01	15	132525.5917
Dillwyn Correctional Center	2010-03-01	14	736096.1572
Dillwyn Correctional Center	2010-04-01	11	137644.3233
Dillwyn Correctional Center	2010-05-01	8	92777.1500
Dillwyn Correctional Center	2010-06-01	15	100707.8201
Dillwyn Correctional Center	2010-07-01	17	226839.8985
Dillwyn Correctional Center	2010-08-01	17	87204.0041
Dillwyn Correctional Center	2010-09-01	16	108046.7100
Dillwyn Correctional Center	2010-10-01	13	97798.4688
Dillwyn Correctional Center	2010-11-01	15	165931.9097
Dillwyn Correctional Center	2010-12-01	11	96608.1030
Dillwyn Correctional Center	2011-01-01	18	117472.4525
Dillwyn Correctional Center	2011-02-01	17	40358.2400
Dillwyn Correctional Center	2011-03-01	22	186224.0005
Dillwyn Correctional Center	2011-04-01	17	57272.5070
Dillwyn Correctional Center	2011-05-01	15	150295.4267
Dillwyn Correctional Center	2011-06-01	16	139624.4844
Dillwyn Correctional Center	2011-07-01	16	149116.2438
Dillwyn Correctional Center	2011-08-01	14	112165.9835
Dillwyn Correctional Center	2011-09-01	14	123851.9550
Dillwyn Correctional Center	2011-10-01	15	113664.2577
Dillwyn Correctional Center	2011-11-01	14	99408.7475
Dillwyn Correctional Center	2011-12-01	12	110375.4818
Dillwyn Correctional Center	2012-01-01	17	405237.6728
Dillwyn Correctional Center	2012-02-01	18	117660.7000
Dillwyn Correctional Center	2012-03-01	17	533596.1708
Dillwyn Correctional Center	2012-04-01	14	108682.1963
Dillwyn Correctional Center	2012-05-01	13	120925.4487
Dillwyn Correctional Center	2012-06-01	12	83691.8176
Dillwyn Correctional Center	2012-07-01	15	334405.7433
Dillwyn Correctional Center	2012-08-01	16	379968.8137
Dillwyn Correctional Center	2012-09-01	17	75673.2920
Dillwyn Correctional Center	2012-10-01	14	132001.7847
Dillwyn Correctional Center	2012-11-01	14	210809.0998
Dillwyn Correctional Center	2012-12-01	13	117245.6153
Dillwyn Correctional Center	2013-01-01	16	244985.5266
Dillwyn Correctional Center	2013-02-01	17	156720.8267
Dillwyn Correctional Center	2013-03-01	17	319933.3600
Dillwyn Correctional Center	2013-04-01	22	350387.7628
Dillwyn Correctional Center	2013-05-01	20	130946.5543
Dillwyn Correctional Center	2013-06-01	14	166842.4790
Dillwyn Correctional Center	2013-07-01	21	627898.1802
Dillwyn Correctional Center	2013-08-01	19	132252.1414
Dillwyn Correctional Center	2013-09-01	18	243310.2058
Dillwyn Correctional Center	2013-10-01	14	125330.6663
Dillwyn Correctional Center	2013-11-01	17	124888.1400
Dillwyn Correctional Center	2013-12-01	15	181303.3860
Dillwyn Correctional Center	2014-01-01	18	461352.6360
Dillwyn Correctional Center	2014-02-01	13	133561.1600
Dillwyn Correctional Center	2014-03-01	15	432154.3400
Dillwyn Correctional Center	2014-04-01	15	536656.1200
Dillwyn Correctional Center	2014-05-01	14	392008.0400
Dillwyn Correctional Center	2014-06-01	18	341395019.5300
Dillwyn Correctional Center	2014-07-01	16	1107255.4500
Dillwyn Correctional Center	2014-08-01	16	153511.8950
Dillwyn Correctional Center	2014-09-01	16	153046.7600
Dillwyn Correctional Center	2014-10-01	14	270044.0640
Dillwyn Correctional Center	2014-11-01	10	118985.6200
Dillwyn Correctional Center	2014-12-01	14	118346.5300
Dillwyn Correctional Center	2015-01-01	16	574251.2800
Dillwyn Correctional Center	2015-02-01	9	108397.9400
Dillwyn Correctional Center	2015-03-01	17	636281.1500
Dillwyn Correctional Center	2015-04-01	5	62322.7100
Correctional Enterprises	2004-08-01	1	419.8400
Correctional Enterprises	2004-09-01	1	21.0000
Correctional Enterprises	2004-11-01	1	1081.7500
Correctional Enterprises	2004-12-01	1	43.6400
Correctional Enterprises	2005-02-01	1	110.0000
Correctional Enterprises	2005-07-01	20	1937741.1105
Correctional Enterprises	2005-08-01	25	1995423.6159
Correctional Enterprises	2005-09-01	22	1960615.9477
Correctional Enterprises	2005-10-01	20	3201424.2337
Correctional Enterprises	2005-11-01	20	1448535.8470
Correctional Enterprises	2005-12-01	22	1680446.0148
Correctional Enterprises	2006-01-01	20	1905767.7273
Correctional Enterprises	2006-02-01	19	1444395.5525
Correctional Enterprises	2006-03-01	23	2452289.8180
Correctional Enterprises	2006-04-01	21	3267726.3242
Correctional Enterprises	2006-05-01	23	3323066.2233
Correctional Enterprises	2006-06-01	23	2960588.2152
Correctional Enterprises	2006-07-01	20	1462001.2853
Correctional Enterprises	2006-08-01	23	3072990.0796
Correctional Enterprises	2006-09-01	20	2016225.9572
Correctional Enterprises	2006-10-01	21	2708565.0191
Correctional Enterprises	2006-11-01	18	2497229.8959
Correctional Enterprises	2006-12-01	22	1393161.3135
Correctional Enterprises	2007-01-01	20	1537330.2658
Correctional Enterprises	2007-02-01	21	1961496.7701
Correctional Enterprises	2007-03-01	23	3684772.4916
Correctional Enterprises	2007-04-01	22	3717752.1227
Correctional Enterprises	2007-05-01	22	5442527.6303
Correctional Enterprises	2007-06-01	22	2739098.2433
