agency	date	cost
Virginia Commonwealth University	2008-07-21	657410.318
Virginia Commonwealth University	2007-08-26	2112.5
Virginia Commonwealth University	2012-02-19	5793.3672
Virginia Commonwealth University	2013-06-08	36.99
Virginia Commonwealth University	2012-03-03	218.21
Virginia Commonwealth University	2013-04-12	845325.26
Virginia Commonwealth University	2013-05-13	37309406.828
Virginia Commonwealth University	2007-04-28	5626.17
Virginia Commonwealth University	2007-10-26	636783.01
Virginia Commonwealth University	2007-02-14	167046.4
Virginia Commonwealth University	2011-06-29	222334.8282
Virginia Commonwealth University	2013-03-09	15928.76
Virginia Commonwealth University	2007-06-21	72893.794
Virginia Commonwealth University	2008-12-08	613569.88
Virginia Commonwealth University	2011-04-16	32675.76
Virginia Commonwealth University	2008-06-27	1112852.61
Virginia Commonwealth University	2013-12-24	2718.02
Virginia Commonwealth University	2004-08-04	44.99
Virginia Commonwealth University	2012-10-22	504965.526
Virginia Commonwealth University	2011-07-26	13948618.9099
Virginia Commonwealth University	2012-04-03	541298.9691
Virginia Commonwealth University	2008-08-11	613998.66
Virginia Commonwealth University	2014-07-27	16383.788
Virginia Commonwealth University	2007-09-12	372374.72
Virginia Commonwealth University	2008-12-24	3524.97
Virginia Commonwealth University	2010-02-10	43298.0878
Virginia Commonwealth University	2010-11-02	632068.6
Virginia Commonwealth University	2005-11-18	214807.1536
Virginia Commonwealth University	2012-07-29	619.2
Virginia Commonwealth University	2012-04-10	945663.89
Virginia Commonwealth University	2012-06-30	97312.7986
Virginia Commonwealth University	2008-10-26	7926.975
Virginia Commonwealth University	2008-07-28	641325.35
Virginia Commonwealth University	2005-09-17	158248.303
Virginia Commonwealth University	2013-03-16	3942.22
Virginia Commonwealth University	2007-07-30	592390.5
Virginia Commonwealth University	2010-12-22	6206171.48
Virginia Commonwealth University	2012-11-18	63662.5447
Virginia Commonwealth University	2011-06-14	656376.6186
Virginia Commonwealth University	2005-10-03	9496.6
Virginia Commonwealth University	2010-02-01	115138.88
Virginia Commonwealth University	2009-08-14	2210954.01
Virginia Commonwealth University	2012-05-18	372925.48
Virginia Commonwealth University	2011-09-05	2995.09
Virginia Commonwealth University	2013-06-25	326373.8
Virginia Commonwealth University	2011-10-14	276232.206
Virginia Commonwealth University	2010-08-11	360839.23
Virginia Commonwealth University	2006-01-20	420531.83
Virginia Commonwealth University	2014-09-05	466431.11
Virginia Commonwealth University	2004-05-18	479.96
Virginia Commonwealth University	2007-11-05	740911.624
Virginia Commonwealth University	2007-01-20	225
Virginia Commonwealth University	2014-11-29	99900
Virginia Commonwealth University	2007-01-18	201454.3383
Virginia Commonwealth University	2011-01-28	160318.2368
Virginia Commonwealth University	2010-03-02	224567.8747
Virginia Commonwealth University	2006-09-01	109585.776
Virginia Commonwealth University	2009-02-10	602883.0406
Virginia Commonwealth University	2014-02-02	9923.9985
Virginia Commonwealth University	2005-10-19	710376.706
Virginia Commonwealth University	2006-07-23	5410.85
Virginia Commonwealth University	2013-04-09	413733.63
Virginia Commonwealth University	2014-10-17	975831.95
Virginia Commonwealth University	2012-02-04	1544.76
Virginia Commonwealth University	2011-01-09	2648.35
Virginia Commonwealth University	2014-05-22	357628.92
Virginia Commonwealth University	2011-03-21	221491.26
Virginia Commonwealth University	2007-02-15	372748.62
Virginia Commonwealth University	2009-03-03	5596213.1176
Virginia Commonwealth University	2007-10-06	2581.55
Virginia Commonwealth University	2004-08-17	760.62
Virginia Commonwealth University	2009-03-10	525903.326
Virginia Commonwealth University	2005-09-27	333627.676
Virginia Commonwealth University	2015-01-20	605911.9
Virginia Commonwealth University	2009-11-01	138461.6
Virginia Commonwealth University	2008-04-03	739317.031
Virginia Commonwealth University	2007-10-23	285605.52
Virginia Commonwealth University	2014-03-12	481646.571
Virginia Commonwealth University	2008-04-15	250177.32
Virginia Commonwealth University	2014-03-16	15053.986
Virginia Commonwealth University	2011-03-02	373677.8953
Virginia Commonwealth University	2009-01-30	310533.244
Virginia Commonwealth University	2014-10-14	887408.866
Virginia Commonwealth University	2009-10-07	159211.669
Virginia Commonwealth University	2009-10-09	154828.4966
Virginia Commonwealth University	2006-09-11	179301.238
Virginia Commonwealth University	2015-03-30	1059942.47
Virginia Commonwealth University	2012-02-16	362909.81
Virginia Commonwealth University	2013-03-14	459915.83
Virginia Commonwealth University	2007-07-12	4487723.97
Virginia Commonwealth University	2009-12-01	204666.374
Virginia Commonwealth University	2011-06-27	1445246.999
Virginia Commonwealth University	2007-07-13	290096.32
Virginia Commonwealth University	2013-10-27	240216.47
Virginia Commonwealth University	2007-04-17	190391.93
Virginia Commonwealth University	2012-07-02	283979.22
Virginia Commonwealth University	2004-10-14	42
Virginia Commonwealth University	2004-05-20	492.8
Virginia Commonwealth University	2010-04-18	22480.756
Virginia Commonwealth University	2009-11-30	384202.21
Virginia Commonwealth University	2014-07-31	286610.43
Virginia Commonwealth University	2011-01-12	356532.682
Virginia Commonwealth University	2011-03-30	2901323.566
Virginia Commonwealth University	2006-07-18	352784.1038
Virginia Commonwealth University	2011-08-29	905310.05
Virginia Commonwealth University	2007-10-01	456354.98
Virginia Commonwealth University	2012-10-13	149.24
Virginia Commonwealth University	2008-07-05	93.12
Virginia Commonwealth University	2014-11-12	1017934.67
Virginia Commonwealth University	2011-10-21	313130.03
Virginia Commonwealth University	2015-03-18	1713084.972
Virginia Commonwealth University	2010-01-20	769408.18
Virginia Commonwealth University	2007-11-15	304757.02
